category,subtype,article,colour,thickness,size,uom,on_hand,supplier_name,attributes,source_row,source_file,note
LEATHER,,ARTICLE,COLOUR,,,DCM,,SUPLIER,"{""buyer_ref"": ""BYER""}",2,STOCK_LEATHER_TILL_31_03_2026.xlsx,
LEATHER,,GOAT SUEDE,FOREST,,,DCM,713,GLOBEL,"{""pcs"": ""16"", ""buyer_ref"": ""JP"", ""unit_price"": ""9.25""}",3,STOCK_LEATHER_TILL_31_03_2026.xlsx,
LEATHER,,GOAT SUEDE,D.BROWN,,,DCM,174,GLOBEL,"{""pcs"": ""6"", ""buyer_ref"": ""JP"", ""unit_price"": ""8.75""}",4,STOCK_LEATHER_TILL_31_03_2026.xlsx,
LEATHER,,GOAT SUEDE,PINE GREEN,,,DCM,890,GLOBEL,"{""pcs"": ""16"", ""buyer_ref"": ""JP"", ""unit_price"": ""9.5""}",5,STOCK_LEATHER_TILL_31_03_2026.xlsx,
LEATHER,,GOAT SUEDE,PINE GREEN,,,DCM,2878,GLOBEL,"{""pcs"": ""64"", ""buyer_ref"": ""JP"", ""unit_price"": ""9.5""}",6,STOCK_LEATHER_TILL_31_03_2026.xlsx,
LEATHER,,GOAT SUEDE,ICE,,,DCM,320,GLOBEL,"{""pcs"": ""8"", ""buyer_ref"": ""JP"", ""unit_price"": ""9.25""}",7,STOCK_LEATHER_TILL_31_03_2026.xlsx,
LEATHER,,GOAT SUEDE,D.BROWN,,,DCM,320,GLOBEL,"{""pcs"": ""8"", ""buyer_ref"": ""JP"", ""unit_price"": ""9.25""}",8,STOCK_LEATHER_TILL_31_03_2026.xlsx,
LEATHER,,GOAT SUEDE,ALGA,,,DCM,779,GLOBEL,"{""pcs"": ""12"", ""buyer_ref"": ""JP"", ""unit_price"": ""9.25""}",9,STOCK_LEATHER_TILL_31_03_2026.xlsx,
LEATHER,,GOAT SUEDE,WHISKY,,,DCM,1775,GLOBEL,"{""pcs"": ""41"", ""buyer_ref"": ""JP"", ""unit_price"": ""9.25""}",10,STOCK_LEATHER_TILL_31_03_2026.xlsx,
LEATHER,,GOAT SUEDE,VANILLA,,,DCM,461,GLOBEL,"{""pcs"": ""9"", ""buyer_ref"": ""JP"", ""unit_price"": ""8.75""}",11,STOCK_LEATHER_TILL_31_03_2026.xlsx,
LEATHER,,GOAT SUEDE,MILITARY,,,DCM,717,GLOBEL,"{""pcs"": ""21"", ""buyer_ref"": ""JP"", ""unit_price"": ""8.75""}",12,STOCK_LEATHER_TILL_31_03_2026.xlsx,
LEATHER,,GOAT SUEDE,D.BLUE,,,DCM,1527,GLOBEL,"{""pcs"": ""30"", ""buyer_ref"": ""JP"", ""unit_price"": ""9.25""}",13,STOCK_LEATHER_TILL_31_03_2026.xlsx,
LEATHER,,GOAT SUEDE,D.BROWN,,,DCM,585,GLOBEL,"{""pcs"": ""13"", ""buyer_ref"": ""NIPAL"", ""unit_price"": ""8.75""}",14,STOCK_LEATHER_TILL_31_03_2026.xlsx,
LEATHER,,GOAT SUEDE,BROWN,,,DCM,360,,"{""pcs"": ""8"", ""unit_price"": ""8.75""}",15,STOCK_LEATHER_TILL_31_03_2026.xlsx,
LEATHER,,GOAT SUEDE,L.BROWN,,,DCM,900,,"{""pcs"": ""23"", ""unit_price"": ""8.75""}",16,STOCK_LEATHER_TILL_31_03_2026.xlsx,
LEATHER,,GOAT SUEDE,RED,,,DCM,1722,,"{""pcs"": ""41"", ""unit_price"": ""10""}",17,STOCK_LEATHER_TILL_31_03_2026.xlsx,
LEATHER,,GOAT SUEDE,BLUE,,,DCM,491,,"{""pcs"": ""11"", ""unit_price"": ""8.75""}",18,STOCK_LEATHER_TILL_31_03_2026.xlsx,
LEATHER,,GOAT SUEDE,TABAC,,,DCM,2039.9999999999998,,"{""pcs"": ""50"", ""unit_price"": ""8.75""}",19,STOCK_LEATHER_TILL_31_03_2026.xlsx,
LEATHER,,GOAT SUEDE,D.GREEN,,,DCM,451,,"{""pcs"": ""8"", ""unit_price"": ""8.75""}",20,STOCK_LEATHER_TILL_31_03_2026.xlsx,
LEATHER,,GOAT SUEDE,TOUPE,,,DCM,1685,GLOBEL,"{""pcs"": ""39"", ""buyer_ref"": ""NIPAL"", ""unit_price"": ""8.75""}",21,STOCK_LEATHER_TILL_31_03_2026.xlsx,
LEATHER,,GOAT SUEDE,D.BLUE,,,DCM,990,GLOBEL,"{""pcs"": ""18"", ""buyer_ref"": ""JP"", ""unit_price"": ""8.75""}",22,STOCK_LEATHER_TILL_31_03_2026.xlsx,
LEATHER,,GOAT SUEDE,D.BLUE,,,DCM,245,,"{""pcs"": ""5"", ""unit_price"": ""8.75""}",23,STOCK_LEATHER_TILL_31_03_2026.xlsx,
LEATHER,,GOAT SUEDE,BROWN,,,DCM,420,,"{""pcs"": ""10"", ""unit_price"": ""8.75""}",24,STOCK_LEATHER_TILL_31_03_2026.xlsx,
LEATHER,,GOAT SUEDE,L.BLUE,,,DCM,924,,"{""pcs"": ""22"", ""unit_price"": ""8.75""}",25,STOCK_LEATHER_TILL_31_03_2026.xlsx,
LEATHER,,GOAT SUEDE,L.BROWN,,,DCM,456,,"{""pcs"": ""11"", ""unit_price"": ""8.75""}",26,STOCK_LEATHER_TILL_31_03_2026.xlsx,
LEATHER,,GOAT SUEDE WATER PROFF,KHAKI,,,DCM,807,,"{""pcs"": ""21"", ""unit_price"": ""9.25""}",27,STOCK_LEATHER_TILL_31_03_2026.xlsx,
LEATHER,,GOAT SUEDE,D.GREY,,,DCM,852,,"{""pcs"": ""21"", ""unit_price"": ""8.75""}",28,STOCK_LEATHER_TILL_31_03_2026.xlsx,
LEATHER,,GOAT SUEDE,DESERT,,,DCM,62,GLOBEL,"{""pcs"": ""1"", ""buyer_ref"": ""JP"", ""unit_price"": ""10""}",29,STOCK_LEATHER_TILL_31_03_2026.xlsx,
LEATHER,,GOAT SUEDE,CORALLA,,,DCM,852,GLOBEL,"{""pcs"": ""21"", ""buyer_ref"": ""JP"", ""unit_price"": ""10""}",30,STOCK_LEATHER_TILL_31_03_2026.xlsx,
LEATHER,,GOAT SUEDE,RED,,,DCM,774,GLOBEL,"{""pcs"": ""18"", ""buyer_ref"": ""JP"", ""unit_price"": ""10""}",31,STOCK_LEATHER_TILL_31_03_2026.xlsx,
LEATHER,,GOAT SUEDE,EMERALD,,,DCM,698,,"{""pcs"": ""16"", ""unit_price"": ""10""}",32,STOCK_LEATHER_TILL_31_03_2026.xlsx,
LEATHER,,GOAT SUEDE,AZURRO,,,DCM,490,GLOBEL,"{""pcs"": ""14"", ""buyer_ref"": ""NIPAL"", ""unit_price"": ""10""}",33,STOCK_LEATHER_TILL_31_03_2026.xlsx,
LEATHER,,GOAT SUEDE,CREAM,,,DCM,490,GLOBEL,"{""pcs"": ""11"", ""buyer_ref"": ""NIPAL"", ""unit_price"": ""10""}",34,STOCK_LEATHER_TILL_31_03_2026.xlsx,
LEATHER,,GOAT SUEDE,MOKA,,,DCM,10723,NMR,"{""pcs"": ""382"", ""buyer_ref"": ""JP"", ""unit_price"": ""7.25""}",35,STOCK_LEATHER_TILL_31_03_2026.xlsx,
LEATHER,,GOAT SUEDE,D.BLUE,,,DCM,309,NMR,"{""pcs"": ""16"", ""buyer_ref"": ""JP"", ""unit_price"": ""7.25""}",36,STOCK_LEATHER_TILL_31_03_2026.xlsx,
LEATHER,,GOAT SUEDE,BLUE,,,DCM,1155,GLOBEL,"{""pcs"": ""24"", ""unit_price"": ""9.25""}",37,STOCK_LEATHER_TILL_31_03_2026.xlsx,
LEATHER,,CHROME FREE SUEDE,OFF WHITE,,,DCM,436,,"{""pcs"": ""10"", ""unit_price"": ""10.5""}",38,STOCK_LEATHER_TILL_31_03_2026.xlsx,
LEATHER,,GOAT SUEDE,BEIGE,,,DCM,815,GLOBEL,"{""pcs"": ""12"", ""unit_price"": ""9.5""}",39,STOCK_LEATHER_TILL_31_03_2026.xlsx,
LEATHER,,GOAT SUEDE,REDISH TABAC,,,DCM,236,,"{""pcs"": ""6"", ""unit_price"": ""9.25""}",40,STOCK_LEATHER_TILL_31_03_2026.xlsx,
LEATHER,,GOAT SUEDE,CAMEL,,,DCM,720,,"{""pcs"": ""16"", ""unit_price"": ""8.75""}",41,STOCK_LEATHER_TILL_31_03_2026.xlsx,
LEATHER,,GOAT SUEDE,GREEN,,,DCM,2478,GLOBEL,"{""pcs"": ""59"", ""unit_price"": ""8.75""}",42,STOCK_LEATHER_TILL_31_03_2026.xlsx,
LEATHER,,GOAT SUEDE,CHOCOLATE,,,DCM,699,GLOBEL,"{""pcs"": ""15"", ""unit_price"": ""8.75""}",43,STOCK_LEATHER_TILL_31_03_2026.xlsx,
LEATHER,,GOAT SUEDE,ANTIC ROSE,,,DCM,2648,GLOBEL,"{""pcs"": ""67"", ""buyer_ref"": ""JP"", ""unit_price"": ""10.5""}",44,STOCK_LEATHER_TILL_31_03_2026.xlsx,
