kind,code,category,subtype,article,colour,thickness,size,qty,uom,supplier
LOT,LOT-LEA-000001,LEATHER,,GOAT SUEDE,D.BLUE,0.6MM,,420.5,dcm,Chennai Tannery Works
SHEET,LS-000001,LEATHER,,GOAT SUEDE,D.BLUE,0.6MM,,88.0,dcm,Chennai Tannery Works
SHEET,LS-000002,LEATHER,,GOAT SUEDE,D.BLUE,0.6MM,,92.5,dcm,Chennai Tannery Works
SHEET,LS-000003,LEATHER,,GOAT SUEDE,D.BLUE,0.6MM,,79.0,dcm,Chennai Tannery Works
SHEET,LS-000004,LEATHER,,GOAT SUEDE,D.BLUE,0.6MM,,84.0,dcm,Chennai Tannery Works
SHEET,LS-000005,LEATHER,,GOAT SUEDE,D.BLUE,0.6MM,,77.0,dcm,Chennai Tannery Works
LOT,LOT-LEA-000002,LEATHER,,GOAT SUEDE,PINE GREEN,0.6MM,,365.0,dcm,Chennai Tannery Works
LOT,LOT-LEA-000003,LEATHER,,SHEEP NAPPA,BLACK,0.8MM,,610.0,dcm,Ranipet Hides & Skins
SHEET,LS-000006,LEATHER,,SHEEP NAPPA,BLACK,0.8MM,,102.0,dcm,Ranipet Hides & Skins
SHEET,LS-000007,LEATHER,,SHEEP NAPPA,BLACK,0.8MM,,98.5,dcm,Ranipet Hides & Skins
SHEET,LS-000008,LEATHER,,SHEEP NAPPA,BLACK,0.8MM,,105.5,dcm,Ranipet Hides & Skins
SHEET,LS-000009,LEATHER,,SHEEP NAPPA,BLACK,0.8MM,,96.0,dcm,Ranipet Hides & Skins
SHEET,LS-000010,LEATHER,,SHEEP NAPPA,BLACK,0.8MM,,108.0,dcm,Ranipet Hides & Skins
SHEET,LS-000011,LEATHER,,SHEEP NAPPA,BLACK,0.8MM,,100.0,dcm,Ranipet Hides & Skins
LOT,LOT-LEA-000004,LEATHER,,SHEEP NAPPA,BURGUNDY,0.8MM,,288.0,dcm,Ranipet Hides & Skins
LOT,LOT-LEA-000005,LEATHER,,GOAT ANILINE,TAN,0.7MM,,285.75,dcm,Chennai Tannery Works
SHEET,LS-000012,LEATHER,,GOAT ANILINE,TAN,0.7MM,,72.25,dcm,Chennai Tannery Works
SHEET,LS-000013,LEATHER,,GOAT ANILINE,TAN,0.7MM,,68.5,dcm,Chennai Tannery Works
SHEET,LS-000014,LEATHER,,GOAT ANILINE,TAN,0.7MM,,74.0,dcm,Chennai Tannery Works
SHEET,LS-000015,LEATHER,,GOAT ANILINE,TAN,0.7MM,,71.0,dcm,Chennai Tannery Works
LOT,LOT-LEA-000006,LEATHER,,COW CRUST,BLACK,1.2MM,,540.0,dcm,Ranipet Hides & Skins
LOT,LOT-LEA-000007,LEATHER,,LAMB NAPPA,OFF WHITE,0.6MM,,198.25,dcm,Chennai Tannery Works
LOT,LOT-LIN-000001,LINING,PLAIN_LINING,TAFFETA 190T,BLACK,0.10MM,,1200.0,mtrs,Ambur Lining House
LOT,LOT-LIN-000002,LINING,PLAIN_LINING,TAFFETA 190T,D.BLUE,0.10MM,,850.0,mtrs,Ambur Lining House
LOT,LOT-LIN-000003,LINING,PLAIN_LINING,POLY VISCOSE TWILL,CHARCOAL,0.20MM,,640.0,mtrs,Ambur Lining House
LOT,LOT-LIN-000004,LINING,PLAIN_LINING,CUPRO BEMBERG,TAN,0.15MM,,300.0,mtrs,Ambur Lining House
LOT,LOT-LIN-000005,LINING,RIBS,COTTON RIB 2X2,BLACK,,,45.5,kg,S.N. Ribs & Knits
LOT,LOT-LIN-000006,LINING,RIBS,ACRYLIC RIB STRIPE,NAVY/WHITE,,,32.0,kg,S.N. Ribs & Knits
LOT,LOT-LIN-000007,LINING,KNIT,KNIT COLLAR,BLACK,,,450.0,pcs,S.N. Ribs & Knits
LOT,LOT-LIN-000008,LINING,KNIT,KNIT CUFF,D.BLUE,,,600.0,pcs,S.N. Ribs & Knits
LOT,LOT-ACC-000001,ACCESSORY,BUTTON,HORN BUTTON,DARK BROWN,,24L,1800.0,pcs,Metro Trims & Zips
LOT,LOT-ACC-000002,ACCESSORY,BUTTON,METAL SHANK BUTTON,ANTIQUE BRASS,,20L,2400.0,pcs,Metro Trims & Zips
LOT,LOT-ACC-000003,ACCESSORY,ZIP,YKK #5 METAL,BLACK,,70CM,900.0,pcs,Metro Trims & Zips
LOT,LOT-ACC-000004,ACCESSORY,ZIP,YKK #5 METAL,D.BLUE,,65CM,400.0,pcs,Metro Trims & Zips
LOT,LOT-ACC-000005,ACCESSORY,ZIP,YKK #3 NYLON,BLACK,,18CM,1500.0,pcs,Metro Trims & Zips
LOT,LOT-ACC-000006,ACCESSORY,THREAD,POLY CORE THREAD,BLACK,TEX 40,,45000.0,mtrs,M.V.P.N.K Threads
LOT,LOT-ACC-000007,ACCESSORY,THREAD,POLY CORE THREAD,TAN,TEX 40,,18000.0,mtrs,M.V.P.N.K Threads
LOT,LOT-ACC-000008,ACCESSORY,THREAD,POLY CORE THREAD,D.BLUE,TEX 60,,12000.0,mtrs,M.V.P.N.K Threads
LOT,LOT-ACC-000009,ACCESSORY,OTHER,SHOULDER PAD,NATURAL,,,600.0,pcs,Packwell Packaging
LOT,LOT-ACC-000010,ACCESSORY,OTHER,HANG TAG,PRINTED,,,2000.0,pcs,Packwell Packaging
LOT,LOT-ACC-000011,ACCESSORY,OTHER,POLY BAG,CLEAR,,,2500.0,pcs,Packwell Packaging
LOT,LOT-ACC-000012,ACCESSORY,OTHER,MAIN LABEL,BLACK,,,3000.0,pcs,Packwell Packaging
